DELAY (SEC) 0.000 ; RAMP (V) 0.0005 ; MAX VOLT (V) 3.00 ; RAMP RESISTANCE TOLERANCE (low R) (float %) 0.030 ; RAMP RESISTANCE TOLERANCE (low-med R) (float %) 0.040 ; RAMP RESISTANCE TOLERANCE (med-high R) (float %) 0.060 ; RAMP RESISTANCE TOLERANCE (high R) (float %) 10000000.000 ; TARGET RESISTANCE (Ohms) 1000.000000000 ; TARGET RESISTANCE TOLERANCE (float %) 0.001 ; RAMP DOWN (V) 0.200 ; NUM CONSEC HITS (low R) 3 ; NUM CONSEC HITS (low-med R) 4 ;  NUM CONSEC HITS (med-high R) 6 ; NUM CONSEC HITS (high R) 100000 ; NUM CONSEC NDR (low R) 3 ; NUM CONSEC HITS (low-med R) 4 ; NUM CONSEC HITS (med-high R) 6 ; NUM CONSEC NDR (high R) 10000000 ; LOW/LOW-MED SWITCH RESISTANCE (ohms) 75.000000000 ; LOW-MED/MED-HIGH SWITCH RESISTANCE (ohms) 200.000000000 ; MED-HIGH/HIGH SWITCH RESISTANCE (ohms) 400.000000000 ;  INTEGRATION TIME (PLC) 1 ; RAMPDOWN DWELL (msec/mV) 0001 ; TEMPERATURE (K) 298.0000 
 voltage,current,resistance 
+1.200000E+00,+2.789629E-03,430.164764
+1.200000E+00,+2.789753E-03,430.145630
+1.200000E+00,+2.789682E-03,430.156586
+1.200000E+00,+2.789772E-03,430.142700
+1.200000E+00,+2.789571E-03,430.173706
+1.200500E+00,+2.790488E-03,430.211487
+1.200500E+00,+2.790464E-03,430.215179
+1.200500E+00,+2.789965E-03,430.292145
+1.200500E+00,+2.789783E-03,430.320190
+1.200500E+00,+2.789678E-03,430.336395
+1.201000E+00,+2.790061E-03,430.456512
+1.201000E+00,+2.789910E-03,430.479828
+1.201000E+00,+2.789651E-03,430.519775
+1.201000E+00,+2.789807E-03,430.495728
+1.201000E+00,+2.789743E-03,430.505585
+1.201500E+00,+2.790670E-03,430.541809
+1.201500E+00,+2.790630E-03,430.547943
+1.201500E+00,+2.790852E-03,430.513702
+1.201500E+00,+2.790695E-03,430.537933
+1.201500E+00,+2.790483E-03,430.570648
+1.202000E+00,+2.791754E-03,430.553711
+1.202000E+00,+2.791613E-03,430.575439
+1.202000E+00,+2.791508E-03,430.591644
+1.202000E+00,+2.791143E-03,430.647949
+1.202000E+00,+2.791271E-03,430.628204
+1.202500E+00,+2.792048E-03,430.687439
+1.202500E+00,+2.792234E-03,430.658722
+1.202500E+00,+2.791764E-03,430.731262
+1.202500E+00,+2.791991E-03,430.696228
+1.202500E+00,+2.791760E-03,430.731873
+1.203000E+00,+2.793076E-03,430.707916
+1.203000E+00,+2.792937E-03,430.729370
+1.203000E+00,+2.792823E-03,430.746948
+1.203000E+00,+2.792668E-03,430.770844
+1.203000E+00,+2.792821E-03,430.747253
+1.203500E+00,+2.793620E-03,430.803040
+1.203500E+00,+2.793795E-03,430.776062
+1.203500E+00,+2.793725E-03,430.786896
+1.203500E+00,+2.793420E-03,430.833893
+1.203500E+00,+2.793161E-03,430.873840
+1.204000E+00,+2.794366E-03,430.866943
+1.204000E+00,+2.794205E-03,430.891785
+1.204000E+00,+2.793922E-03,430.935425
+1.204000E+00,+2.793756E-03,430.961029
+1.204000E+00,+2.793797E-03,430.954712
+1.204500E+00,+2.794923E-03,430.959961
+1.204500E+00,+2.795179E-03,430.920532
+1.204500E+00,+2.795012E-03,430.946259
+1.204500E+00,+2.795026E-03,430.944122
+1.204500E+00,+2.794699E-03,430.994507
+1.205000E+00,+2.795828E-03,430.999329
+1.205000E+00,+2.795657E-03,431.025726
+1.205000E+00,+2.795421E-03,431.062103
+1.205000E+00,+2.795244E-03,431.089386
+1.205000E+00,+2.795132E-03,431.106659
+1.205000E+00,+2.794936E-03,431.136902
+1.205000E+00,+2.794914E-03,431.140289
+1.205000E+00,+2.794742E-03,431.166840
+1.205000E+00,+2.794577E-03,431.192291
+1.205000E+00,+2.794330E-03,431.230408
+1.205000E+00,+2.794130E-03,431.261261
+1.205000E+00,+2.794287E-03,431.237061
+1.205000E+00,+2.794367E-03,431.224670
+1.205000E+00,+2.793702E-03,431.327332
+1.205000E+00,+2.793739E-03,431.321625
+1.205000E+00,+2.793226E-03,431.400848
+1.205000E+00,+2.793233E-03,431.399780
+1.205000E+00,+2.793227E-03,431.400665
+1.205000E+00,+2.793111E-03,431.418610
+1.205000E+00,+2.792823E-03,431.463104
+1.205000E+00,+2.792631E-03,431.492737
+1.205000E+00,+2.792118E-03,431.572052
+1.205000E+00,+2.792299E-03,431.544067
+1.205000E+00,+2.792167E-03,431.564453
+1.205000E+00,+2.792238E-03,431.553497
+1.205000E+00,+2.792238E-03,431.553497
+1.205000E+00,+2.791970E-03,431.594910
+1.205000E+00,+2.791875E-03,431.609589
+1.205000E+00,+2.791990E-03,431.591797
+1.205000E+00,+2.791929E-03,431.601227
+1.205000E+00,+2.791798E-03,431.621490
+1.205000E+00,+2.791618E-03,431.649323
+1.205000E+00,+2.791466E-03,431.672852
+1.205000E+00,+2.791481E-03,431.670502
+1.205000E+00,+2.791440E-03,431.676880
+1.205000E+00,+2.791543E-03,431.660919
+1.205000E+00,+2.791342E-03,431.691986
+1.205000E+00,+2.791050E-03,431.737183
+1.205000E+00,+2.790952E-03,431.752319
+1.205000E+00,+2.790936E-03,431.754791
+1.205000E+00,+2.790975E-03,431.748779
+1.205000E+00,+2.790953E-03,431.752167
+1.205000E+00,+2.790972E-03,431.749268
+1.205000E+00,+2.790867E-03,431.765503
+1.205000E+00,+2.790686E-03,431.793488
+1.205000E+00,+2.790600E-03,431.806793
+1.205000E+00,+2.790528E-03,431.817963
+1.205000E+00,+2.790590E-03,431.808350
+1.205000E+00,+2.790363E-03,431.843475
+1.205000E+00,+2.790104E-03,431.883575
+1.205000E+00,+2.789940E-03,431.908936
+1.205000E+00,+2.789819E-03,431.927704
+1.205000E+00,+2.789485E-03,431.979401
+1.205000E+00,+2.789505E-03,431.976288
+1.205000E+00,+2.789727E-03,431.941925
+1.205000E+00,+2.789591E-03,431.962982
+1.205000E+00,+2.789571E-03,431.966095
+1.205000E+00,+2.789635E-03,431.956177
+1.205000E+00,+2.789774E-03,431.934662
+1.205000E+00,+2.789423E-03,431.988983
+1.205000E+00,+2.789506E-03,431.976135
+1.205000E+00,+2.789607E-03,431.960510
+1.205000E+00,+2.789611E-03,431.959869
+1.205000E+00,+2.789308E-03,432.006805
+1.205000E+00,+2.789237E-03,432.017792
+1.205000E+00,+2.788932E-03,432.065033
+1.205000E+00,+2.788824E-03,432.081787
+1.205000E+00,+2.788957E-03,432.061188
+1.205000E+00,+2.788679E-03,432.104248
+1.205000E+00,+2.788107E-03,432.192902
+1.205000E+00,+2.788442E-03,432.140991
+1.205000E+00,+2.788240E-03,432.172272
+1.205000E+00,+2.788351E-03,432.155090
+1.205000E+00,+2.788340E-03,432.156799
+1.205000E+00,+2.787960E-03,432.215698
+1.205000E+00,+2.787938E-03,432.219086
+1.205000E+00,+2.787798E-03,432.240814
+1.205000E+00,+2.787526E-03,432.282990
+1.205000E+00,+2.787421E-03,432.299255
+1.205000E+00,+2.787353E-03,432.309814
+1.205000E+00,+2.787217E-03,432.330902
+1.205000E+00,+2.787000E-03,432.364563
+1.205000E+00,+2.786834E-03,432.390320
+1.205000E+00,+2.786813E-03,432.393555
+1.205000E+00,+2.786687E-03,432.413116
+1.205000E+00,+2.787029E-03,432.360077
+1.205000E+00,+2.786894E-03,432.380981
+1.205000E+00,+2.786948E-03,432.372620
+1.205000E+00,+2.786843E-03,432.388916
+1.205000E+00,+2.786802E-03,432.395294
+1.205000E+00,+2.786682E-03,432.413910
+1.205000E+00,+2.786526E-03,432.438110
+1.205000E+00,+2.786371E-03,432.462189
+1.205000E+00,+2.786460E-03,432.448334
+1.205000E+00,+2.786211E-03,432.487000
+1.205000E+00,+2.785920E-03,432.532196
+1.205000E+00,+2.785916E-03,432.532806
+1.205000E+00,+2.785669E-03,432.571167
+1.205000E+00,+2.785651E-03,432.573944
+1.205000E+00,+2.785824E-03,432.547089
+1.205000E+00,+2.786158E-03,432.495239
+1.205000E+00,+2.786100E-03,432.504242
+1.205000E+00,+2.785803E-03,432.550323
+1.205000E+00,+2.785694E-03,432.567261
+1.205000E+00,+2.785704E-03,432.565704
+1.205000E+00,+2.785585E-03,432.584198
+1.205000E+00,+2.785310E-03,432.626923
+1.205000E+00,+2.785201E-03,432.643829
+1.205000E+00,+2.785329E-03,432.623962
+1.205000E+00,+2.785280E-03,432.631561
+1.205000E+00,+2.785092E-03,432.660767
+1.205000E+00,+2.785248E-03,432.636536
+1.205000E+00,+2.785445E-03,432.605957
+1.205000E+00,+2.785236E-03,432.638367
+1.205000E+00,+2.784972E-03,432.679413
+1.205000E+00,+2.784659E-03,432.728058
+1.205000E+00,+2.784680E-03,432.724762
+1.205000E+00,+2.784494E-03,432.753662
+1.205000E+00,+2.784309E-03,432.782440
