TARGET RESISTANCE (Ohms) 1500.000000000 ; VOLTAGE STEP (V) 0.001 ; % CHANGE THAT PREVENTS STEP (float %) 0.005 ; % CHANGE THAT TRIGGERS DWELL (float %) 0.005 ; TEMPERATURE (K) 295.2000
time(ms),voltage(V),current(A),resistance(Ohms) 
0, +2.000000E-01,+5.487758E-04,364.447571
 98, +2.000000E-01,+5.487248E-04,364.481445
 187, +2.000000E-01,+5.487096E-04,364.491547
 276, +2.000000E-01,+5.487299E-04,364.478058
 365, +2.000000E-01,+5.488159E-04,364.420959
 470, +2.005000E-01,+5.497435E-04,364.715546
 558, +2.005000E-01,+5.498041E-04,364.675323
 647, +2.005000E-01,+5.497233E-04,364.728943
 736, +2.005000E-01,+5.496023E-04,364.809235
 832, +2.005000E-01,+5.497686E-04,364.698883
 923, +2.010000E-01,+5.514480E-04,364.494965
 1012, +2.010000E-01,+5.514985E-04,364.461578
 1101, +2.010000E-01,+5.515242E-04,364.444550
 1196, +2.010000E-01,+5.515239E-04,364.444794
 1286, +2.010000E-01,+5.515439E-04,364.431549
 1378, +2.015000E-01,+5.523509E-04,364.804321
 1474, +2.015000E-01,+5.523254E-04,364.821167
 1563, +2.015000E-01,+5.522453E-04,364.874084
 1652, +2.015000E-01,+5.522802E-04,364.851013
 1741, +2.015000E-01,+5.523612E-04,364.797516
 1839, +2.020000E-01,+5.541154E-04,364.545013
 1932, +2.020000E-01,+5.540395E-04,364.594971
 2021, +2.020000E-01,+5.541508E-04,364.521729
 2110, +2.020000E-01,+5.540648E-04,364.578308
 2205, +2.020000E-01,+5.541255E-04,364.538361
 2296, +2.025000E-01,+5.549469E-04,364.899780
 2385, +2.025000E-01,+5.549270E-04,364.912872
 2481, +2.025000E-01,+5.550987E-04,364.799988
 2576, +2.025000E-01,+5.551290E-04,364.780060
 2665, +2.025000E-01,+5.551390E-04,364.773529
 2756, +2.030000E-01,+5.567925E-04,364.588257
 2859, +2.030000E-01,+5.567475E-04,364.617706
 2948, +2.030000E-01,+5.568031E-04,364.581299
 3037, +2.030000E-01,+5.568181E-04,364.571472
 3126, +2.030000E-01,+5.568031E-04,364.581299
 3231, +2.035000E-01,+5.578519E-04,364.792145
 3320, +2.035000E-01,+5.575644E-04,364.980286
 3409, +2.035000E-01,+5.575292E-04,365.003296
 3498, +2.035000E-01,+5.575938E-04,364.960999
 3594, +2.035000E-01,+5.575036E-04,365.020081
 3685, +2.040000E-01,+5.593644E-04,364.699646
 3774, +2.040000E-01,+5.592890E-04,364.748810
 3863, +2.040000E-01,+5.593846E-04,364.686493
 3958, +2.040000E-01,+5.593601E-04,364.702454
 4047, +2.040000E-01,+5.593600E-04,364.702484
 4137, +2.045000E-01,+5.611244E-04,364.446808
 4241, +2.045000E-01,+5.612150E-04,364.388000
 4330, +2.045000E-01,+5.613008E-04,364.332306
 4419, +2.045000E-01,+5.611754E-04,364.413696
 4508, +2.045000E-01,+5.610788E-04,364.476471
 4613, +2.050000E-01,+5.621327E-04,364.682587
 4702, +2.050000E-01,+5.620220E-04,364.754425
 4791, +2.050000E-01,+5.621175E-04,364.692444
 4880, +2.050000E-01,+5.620620E-04,364.728424
 4976, +2.050000E-01,+5.621176E-04,364.692352
 5067, +2.055000E-01,+5.639025E-04,364.424713
 5156, +2.055000E-01,+5.638271E-04,364.473450
 5245, +2.055000E-01,+5.638422E-04,364.463684
 5340, +2.055000E-01,+5.638874E-04,364.434448
 5428, +2.055000E-01,+5.638980E-04,364.427612
 5519, +2.060000E-01,+5.647900E-04,364.737335
 5615, +2.060000E-01,+5.647041E-04,364.792816
 5704, +2.060000E-01,+5.647193E-04,364.782990
 5793, +2.060000E-01,+5.647342E-04,364.773376
 5883, +2.060000E-01,+5.646386E-04,364.835144
 5988, +2.065000E-01,+5.664539E-04,364.548615
 6077, +2.065000E-01,+5.664795E-04,364.532135
 6166, +2.065000E-01,+5.664636E-04,364.542358
 6255, +2.065000E-01,+5.664585E-04,364.545654
 6351, +2.065000E-01,+5.665952E-04,364.457733
 6442, +2.070000E-01,+5.673615E-04,364.846771
 6531, +2.070000E-01,+5.675227E-04,364.743103
 6620, +2.070000E-01,+5.674019E-04,364.820801
