TARGET RESISTANCE (Ohms) 1500.000000000 ; VOLTAGE STEP (V) 0.001 ; % CHANGE THAT PREVENTS STEP (float %) 0.005 ; % CHANGE THAT TRIGGERS DWELL (float %) 0.005 ; TEMPERATURE (K) 295.2000
time(ms),voltage(V),current(A),resistance(Ohms) 
0, +4.000000E-01,+1.193540E-03,335.137482
 98, +4.000000E-01,+1.193510E-03,335.145905
 187, +4.000000E-01,+1.193454E-03,335.161652
 276, +4.000000E-01,+1.193509E-03,335.146210
 371, +4.000000E-01,+1.193505E-03,335.147308
 472, +4.005000E-01,+1.194442E-03,335.303009
 569, +4.005000E-01,+1.194502E-03,335.286163
 658, +4.005000E-01,+1.194487E-03,335.290375
 754, +4.005000E-01,+1.194538E-03,335.276062
 844, +4.005000E-01,+1.194457E-03,335.298828
 935, +4.010000E-01,+1.196454E-03,335.157043
 1031, +4.010000E-01,+1.196429E-03,335.164063
 1121, +4.010000E-01,+1.196296E-03,335.201324
 1210, +4.010000E-01,+1.196403E-03,335.171326
 1299, +4.010000E-01,+1.196277E-03,335.206635
 1399, +4.015000E-01,+1.197377E-03,335.316284
 1492, +4.015000E-01,+1.197321E-03,335.331940
 1581, +4.015000E-01,+1.197351E-03,335.323547
 1670, +4.015000E-01,+1.197301E-03,335.337555
 1766, +4.015000E-01,+1.197371E-03,335.317932
 1863, +4.020000E-01,+1.199278E-03,335.201660
 1960, +4.020000E-01,+1.199277E-03,335.201965
 2054, +4.020000E-01,+1.199313E-03,335.191925
 2152, +4.020000E-01,+1.199313E-03,335.191925
 2241, +4.020000E-01,+1.199283E-03,335.200287
 2332, +4.025000E-01,+1.200276E-03,335.339539
 2428, +4.025000E-01,+1.200230E-03,335.352386
 2517, +4.025000E-01,+1.200160E-03,335.371948
 2606, +4.025000E-01,+1.200179E-03,335.366638
 2696, +4.025000E-01,+1.200292E-03,335.335052
 2794, +4.030000E-01,+1.202197E-03,335.219574
 2883, +4.030000E-01,+1.202242E-03,335.207062
 2978, +4.030000E-01,+1.202191E-03,335.221283
 3077, +4.030000E-01,+1.202208E-03,335.216522
 3166, +4.030000E-01,+1.202292E-03,335.193115
 3258, +4.035000E-01,+1.203287E-03,335.331451
 3347, +4.035000E-01,+1.203210E-03,335.352936
 3442, +4.035000E-01,+1.203230E-03,335.347351
 3539, +4.035000E-01,+1.203175E-03,335.362671
 3628, +4.035000E-01,+1.203297E-03,335.328674
 3726, +4.040000E-01,+1.205177E-03,335.220459
 3816, +4.040000E-01,+1.205181E-03,335.219360
 3905, +4.040000E-01,+1.205177E-03,335.220459
 4001, +4.040000E-01,+1.205127E-03,335.234406
 4090, +4.040000E-01,+1.205110E-03,335.239136
 4181, +4.045000E-01,+1.206090E-03,335.381287
 4270, +4.045000E-01,+1.206095E-03,335.379883
 4373, +4.045000E-01,+1.206105E-03,335.377106
 4464, +4.045000E-01,+1.206045E-03,335.393768
 4553, +4.045000E-01,+1.206130E-03,335.370148
 4644, +4.050000E-01,+1.208061E-03,335.247986
 4740, +4.050000E-01,+1.208045E-03,335.252411
 4829, +4.050000E-01,+1.208111E-03,335.234100
 4924, +4.050000E-01,+1.208081E-03,335.242401
 5027, +4.050000E-01,+1.208076E-03,335.243805
 5125, +4.055000E-01,+1.209095E-03,335.374786
 5221, +4.055000E-01,+1.209026E-03,335.393951
 5324, +4.055000E-01,+1.209085E-03,335.377563
 5419, +4.055000E-01,+1.209039E-03,335.390320
 5508, +4.055000E-01,+1.208948E-03,335.415588
 5599, +4.060000E-01,+1.210920E-03,335.282257
 5695, +4.060000E-01,+1.211001E-03,335.259827
 5784, +4.060000E-01,+1.211061E-03,335.243225
 5881, +4.060000E-01,+1.210961E-03,335.270905
 5980, +4.060000E-01,+1.210971E-03,335.268127
 6073, +4.065000E-01,+1.211904E-03,335.422607
 6162, +4.065000E-01,+1.211919E-03,335.418457
 6251, +4.065000E-01,+1.211990E-03,335.398804
 6346, +4.065000E-01,+1.211995E-03,335.397430
 6441, +4.065000E-01,+1.211898E-03,335.424255
 6532, +4.070000E-01,+1.213996E-03,335.256470
 6628, +4.070000E-01,+1.213879E-03,335.288788
 6717, +4.070000E-01,+1.213841E-03,335.299255
 6806, +4.070000E-01,+1.213906E-03,335.281311
 6895, +4.070000E-01,+1.213855E-03,335.295410
 6992, +4.075000E-01,+1.214823E-03,335.439819
 7081, +4.075000E-01,+1.214966E-03,335.400360
 7171, +4.075000E-01,+1.214864E-03,335.428497
 7274, +4.075000E-01,+1.214869E-03,335.427124
 7366, +4.075000E-01,+1.214854E-03,335.431274
 7457, +4.080000E-01,+1.216850E-03,335.291931
 7546, +4.080000E-01,+1.216784E-03,335.310120
 7643, +4.080000E-01,+1.216764E-03,335.315643
 7732, +4.080000E-01,+1.216805E-03,335.304352
