TARGET RESISTANCE (Ohms) 3000.000000000 ; VOLTAGE STEP (V) 0.001 ; % CHANGE THAT PREVENTS STEP (float %) 0.005 ; % CHANGE THAT TRIGGERS DWELL (float %) 0.005 ; TEMPERATURE (K) 295.2000
time(ms),voltage(V),current(A),resistance(Ohms) 
0, +5.000000E-02,+1.220320E-04,409.728607
 89, +5.000000E-02,+1.220572E-04,409.644012
 184, +5.000000E-02,+1.220018E-04,409.830017
 272, +5.000000E-02,+1.220067E-04,409.813568
 361, +5.000000E-02,+1.221077E-04,409.474609
 452, +5.050000E-02,+1.228187E-04,411.175171
 545, +5.050000E-02,+1.227681E-04,411.344635
 634, +5.050000E-02,+1.228186E-04,411.175507
 724, +5.050000E-02,+1.228086E-04,411.208984
 820, +5.050000E-02,+1.227934E-04,411.259918
 917, +5.100000E-02,+1.243666E-04,410.077911
 1006, +5.100000E-02,+1.243263E-04,410.210876
 1095, +5.100000E-02,+1.243162E-04,410.244202
 1199, +5.100000E-02,+1.243767E-04,410.044617
 1288, +5.100000E-02,+1.243010E-04,410.294342
 1381, +5.150000E-02,+1.259046E-04,409.039886
 1470, +5.150000E-02,+1.259650E-04,408.843719
 1566, +5.150000E-02,+1.258793E-04,409.122040
 1655, +5.150000E-02,+1.258995E-04,409.056427
 1744, +5.150000E-02,+1.259146E-04,409.007385
 1835, +5.200000E-02,+1.266457E-04,410.594299
 1932, +5.200000E-02,+1.267063E-04,410.397888
 2022, +5.200000E-02,+1.266305E-04,410.643555
 2111, +5.200000E-02,+1.267164E-04,410.365173
 2214, +5.200000E-02,+1.267012E-04,410.414429
 2306, +5.250000E-02,+1.282643E-04,409.311066
 2395, +5.250000E-02,+1.282290E-04,409.423737
 2484, +5.250000E-02,+1.281937E-04,409.536499
 2580, +5.250000E-02,+1.282693E-04,409.295135
 2669, +5.250000E-02,+1.282190E-04,409.455658
 2760, +5.300000E-02,+1.289904E-04,410.883270
 2849, +5.300000E-02,+1.290106E-04,410.818939
 2945, +5.300000E-02,+1.289955E-04,410.867065
 3035, +5.300000E-02,+1.290662E-04,410.641968
 3124, +5.300000E-02,+1.289753E-04,410.931396
 3215, +5.350000E-02,+1.305133E-04,409.919891
 3308, +5.350000E-02,+1.305031E-04,409.951935
 3397, +5.350000E-02,+1.305233E-04,409.888489
 3487, +5.350000E-02,+1.305838E-04,409.698608
 3583, +5.350000E-02,+1.305283E-04,409.872833
 3674, +5.400000E-02,+1.312898E-04,411.303864
 3763, +5.400000E-02,+1.312949E-04,411.287872
 3852, +5.400000E-02,+1.312998E-04,411.272522
 3949, +5.400000E-02,+1.312595E-04,411.398804
 4038, +5.400000E-02,+1.312746E-04,411.351471
 4129, +5.450000E-02,+1.328731E-04,410.165771
 4217, +5.450000E-02,+1.328377E-04,410.275085
 4313, +5.450000E-02,+1.328631E-04,410.196625
 4402, +5.450000E-02,+1.328529E-04,410.228149
 4491, +5.450000E-02,+1.328175E-04,410.337494
 4582, +5.500000E-02,+1.336697E-04,411.461975
 4675, +5.500000E-02,+1.336294E-04,411.586090
