time,volt,curr,res,rj,smrj,rate,power
481668,0.805,0.00248915,323.403564,0.0,0.04284547212631308,7.232292990589966e-07,2.648375322798365e-07
481756,0.805,0.002489211,323.39563,-0.007934000000034303,0.042958611504371885,7.258600098202236e-07,2.6562499464928196e-07
481852,0.805,0.002489274,323.387482,-0.016082000000039898,0.04308206423044871,7.287286382789028e-07,2.6648411793228427e-07
481941,0.805,0.0024892029999999997,323.396698,-0.006866000000002259,0.043196541590067764,7.313869421075577e-07,2.6728066632884686e-07
482030,0.805,0.002489174,323.40045200000003,-0.003111999999987347,0.043311044681483744,7.340441357887842e-07,2.6807728250451457e-07
482121,0.8055,0.002490285,323.45694,0.05337599999995746,0.04342814782822882,7.367598938391329e-07,2.6889187102440215e-07
482214,0.8055,0.00249027,323.458893,0.055328999999971984,0.0435478532005962,7.395341397353748e-07,2.697244373248219e-07
482303,0.8055,0.002490235,323.46344,0.05987599999997428,0.0436624373204304,7.421879281329155e-07,2.7052126560990586e-07
482393,0.8055,0.002490314,323.45318599999996,0.049621999999942545,0.043778336481410565,7.448704054497645e-07,2.713271183473916e-07
482490,0.8055,0.002490246,323.46200600000003,0.05844200000001365,0.04390328144522629,7.477602487787585e-07,2.721957292171445e-07
482581,0.806,0.002492201,323.408905,0.005340999999987162,0.04402052767863801,7.50470140048225e-07,2.730106880001283e-07
482670,0.806,0.002492221,323.40631099999996,0.0027469999999425454,0.04413522513926624,7.531193506468181e-07,2.7380780740638574e-07
482759,0.806,0.002492312,323.394501,-0.009063000000026022,0.04424995049376458,7.557674510979824e-07,2.746049979386101e-07
482856,0.806,0.002492186,323.410858,0.007294000000001688,0.04437502017237356,7.586523187352689e-07,2.7547392704994654e-07
482945,0.806,0.002492171,323.412781,0.00921699999997827,0.04448980428056122,7.61298099103043e-07,2.7627126613007706e-07
483036,0.8065,0.002493167,323.484131,0.08056699999997363,0.04460719711101677,7.640021873609852e-07,2.7708659623011867e-07
483125,0.8065,0.002493354,323.4599,0.05633599999998751,0.044722038694383945,7.666457224867685e-07,2.7788407847298655e-07
483221,0.8065,0.002493262,323.471832,0.06826799999998912,0.04484594488763743,7.694959315519781e-07,2.787443629942696e-07
483314,0.8065,0.002493285,323.468842,0.06527799999997796,0.044966010992236044,7.722558398542348e-07,2.795778414048028e-07
483403,0.8065,0.00249331,323.465607,0.0620429999999601,0.0450809426092329,7.748959073284993e-07,2.80375542594427e-07
483514,0.807,0.002495326,323.404602,0.0010379999999940992,0.045224325179455314,7.781870200594424e-07,2.813705255527502e-07
483604,0.807,0.002495383,323.397247,-0.006317000000024109,0.04534061485291661,7.808542221625236e-07,2.8217734726954676e-07
483693,0.807,0.002495325,323.40475499999997,0.0011909999999488718,0.045455642146397274,7.834906723024699e-07,2.829752732205524e-07
483782,0.807,0.002495378,323.39788799999997,-0.005676000000050863,0.04557069918472066,7.861260122949872e-07,2.837732672118405e-07
483879,0.807,0.002495382,323.39736899999997,-0.006195000000047912,0.04569613252409303,7.889969724661082e-07,2.8464306785677716e-07
483975,0.8075,0.002496426,323.462402,0.058837999999980184,0.04582030798751332,7.918370367375445e-07,2.855039797158791e-07
484064,0.8075,0.002496541,323.44751,0.04394600000000537,0.045935460532696475,7.944688591842764e-07,2.863021856411762e-07
484160,0.8075,0.002496522,323.449982,0.0464179999999601,0.04605970432570105,7.973064343484871e-07,2.8716324539378726e-07
484249,0.8075,0.00249649,323.454102,0.05053799999996045,0.04617492088193252,7.999359491853955e-07,2.8796158707491787e-07
484339,0.8075,0.002496495,323.453461,0.0498969999999872,0.04629146386254536,8.02593880204976e-07,2.887689642882829e-07
484430,0.808,0.002498538,323.38912999999997,-0.014434000000051128,0.04640933438277269,8.052801895660718e-07,2.8958537856722493e-07
484523,0.808,0.002498498,323.394318,-0.00924600000001874,0.04652982908902123,8.08024339549121e-07,2.9041980413048284e-07
484613,0.808,0.0024984539999999998,323.399994,-0.00357000000002472,0.046646468916310024,8.106788144096822e-07,2.9122737760011576e-07
484703,0.808,0.002498422,323.404144,0.0005799999999567262,0.046763139949300904,8.133321540355293e-07,2.9203501413164155e-07
484800,0.808,0.002498423,323.404022,0.00045799999998052954,0.04688891997082707,8.161905934086652e-07,2.929055365829271e-07
484892,0.8085,0.002499426,323.47427400000004,0.07071000000001959,0.04700824926958721,8.189004720608125e-07,2.9373125276281523e-07
484981,0.8085,0.0024995110000000003,323.46328700000004,0.05972300000001951,0.047123717429189346,8.215208562469589e-07,2.9453010381612544e-07
485070,0.8085,0.002499435,323.473114,0.06954999999999245,0.04723921479536128,8.241401302856766e-07,2.9532901352779015e-07
485166,0.8085,0.002499416,323.47558599999996,0.07202199999994718,0.04736382858521039,8.269641700884334e-07,2.9619082374388824e-07
485255,0.8085,0.002499431,323.473663,0.0700989999999706,0.047479385594321376,8.295811365173275e-07,2.969898530358344e-07
485346,0.809,0.0025013979999999997,323.419128,0.01556399999998348,0.04759756851121585,8.322557633321452e-07,2.97806896410754e-07
485435,0.809,0.002501349,323.425476,0.021911999999986165,0.047713182125920045,8.348704845190485e-07,2.986060392257435e-07
485530,0.809,0.002501331,323.427795,0.024230999999986125,0.047836620199777205,8.376602541121226e-07,2.994591176626506e-07
485625,0.809,0.002501418,323.416565,0.013000999999974283,0.0479600891123242,8.404487588294812e-07,3.0031225807883416e-07
485714,0.809,0.002501444,323.413208,0.009643999999980224,0.04807578756819446,8.430599998912991e-07,3.0111157140638095e-07
485812,0.8095,0.002502513,323.474854,0.07128999999997632,0.04820321627278014,8.459340148212683e-07,3.019917753788567e-07
485901,0.8095,0.002502416,323.487366,0.0838019999999915,0.04831896953834924,8.485429233261292e-07,3.0279119912497413e-07
485990,0.8095,0.0025024070000000003,323.488556,0.08499199999999973,0.04843474828978947,8.511507216835614e-07,3.0359067432425193e-07
486079,0.8095,0.002502484,323.47857700000003,0.07501300000001265,0.048550552131100946,8.537574098935649e-07,3.043902002535029e-07
486175,0.8095,0.002502386,323.491241,0.08767699999998513,0.04867549180391031,8.56567873970967e-07,3.0525266630595777e-07
486267,0.81,0.002504426,323.42739900000004,0.02383500000001959,0.048795252134471,8.592600233402294e-07,3.0607925011709355e-07
486356,0.81,0.002504405,323.430115,0.02655099999998356,0.048911131457659913,8.618632563722805e-07,3.068789296080101e-07
486449,0.81,0.002504424,323.42767299999997,0.024108999999953085,0.04903224382491221,8.645823025316793e-07,3.077146010521083e-07
486540,0.81,0.002504371,323.434509,0.030944999999974243,0.049150775875430014,8.672417012239472e-07,3.0853235108623195e-07
486630,0.81,0.002504422,323.427917,0.02435299999996232,0.049268028506521164,8.698707342131875e-07,3.09341162813229e-07
486721,0.8105,0.002505329,323.510406,0.1068419999999719,0.04938660686067932,8.725278244547169e-07,3.1015900918823436e-07
486824,0.8105,0.002505341,323.50885,0.10528599999997823,0.0495208491143628,8.755338999596347e-07,3.110847608488508e-07
486914,0.8105,0.0025053370000000003,323.50939900000003,0.10583500000001322,0.0496381712730953,8.781593506526653e-07,3.1189371960406156e-07
487003,0.8105,0.002505366,323.505646,0.10208199999999579,0.04975421054365978,8.807545132871168e-07,3.126937353214276e-07
487092,0.8105,0.0025054129999999997,323.499573,0.09600899999998092,0.04987026991291695,8.833485657741396e-07,3.1349379661442525e-07
487190,0.811,0.002507403,323.44223,0.038665999999977885,0.04999808829565138,8.862036539588287e-07,3.143748170983052e-07
487279,0.811,0.0025073870000000002,323.444275,0.04071099999998751,0.05011418831356325,8.887953738888946e-07,3.1517497907285044e-07
487374,0.811,0.002507461,323.434723,0.03115900000000238,0.05023813578542793,8.915605915786026e-07,3.160291428351057e-07
487473,0.811,0.002507356,323.448273,0.04470899999995481,0.05036732395752411,8.944408936030029e-07,3.1691934262174993e-07
487562,0.811,0.002507464,323.434357,0.030792999999960102,0.0504834813015337,8.970290835137166e-07,3.17719694766431e-07
487653,0.8115,0.002508437,323.50820899999997,0.10464499999994814,0.050602266525502086,8.996742871470243e-07,3.185381158896585e-07
487742,0.8115,0.002508467,323.50433300000003,0.10076900000001388,0.05071845784678123,9.022602318157475e-07,3.1933864970435525e-07
487838,0.8115,0.002508432,323.50885,0.10528599999997823,0.05084380586927892,9.050483208373867e-07,3.2020228662070834e-07
487927,0.8115,0.002508386,323.514771,0.11120699999997896,0.05096003018372222,9.076319578962862e-07,3.210031157743557e-07
488016,0.8115,0.002508376,323.516083,0.1125189999999634,0.05107626965779012,9.10214484807757e-07,3.2180415031874295e-07
488107,0.812,0.00251049,323.442841,0.03927699999997003,0.051195136438168996,9.128538981834117e-07,3.2262345726899824e-07
488201,0.812,0.002510387,323.45608500000003,0.05252100000001292,0.05131793748502718,9.155791065614227e-07,3.234701398549615e-07
488290,0.812,0.002510525,323.43829300000004,0.0347290000000271,0.0514342206210811,9.181582157156412e-07,3.2427220837432323e-07
488380,0.812,0.002510535,323.43701200000004,0.03344800000002124,0.05155182358770107,9.207651746965462e-07,3.250837818601719e-07
488469,0.812,0.002510449,323.44812,0.04455600000000004,0.05166813234157297,9.233420510823407e-07,3.2588894814007687e-07
488565,0.8125,0.002511549,323.50552400000004,0.10196000000001959,0.05179360214765964,9.26120358585315e-07,3.2676208460816297e-07
488660,0.8125,0.002511545,323.506042,0.10247799999996232,0.05191777764548307,9.28868453852177e-07,3.276260966594087e-07
488749,0.8125,0.002511563,323.503723,0.10015899999996236,0.052034121191324,9.314418376393193e-07,3.284360597608879e-07
488845,0.8125,0.002511498,323.512085,0.10852099999999609,0.05215962617419819,9.342163778448711e-07,3.293106500694342e-07
488934,0.8125,0.0025115289999999998,323.508118,0.10455400000000736,0.052275989052802264,9.367874540221896e-07,3.3012142150084694e-07
489027,0.813,0.002513516,323.451294,0.04773000000000138,0.052397590511894965,9.394728980749578e-07,3.3096923602804774e-07
489124,0.813,0.002513636,323.435883,0.032318999999972675,0.0525244308895806,9.422725535930591e-07,3.318545140849001e-07
489213,0.813,0.002513631,323.43649300000004,0.03292900000002419,0.052640817433774426,9.448401496452921e-07,3.326667530192247e-07
489302,0.813,0.002513575,323.44372599999997,0.04016199999995251,0.05275721032270964,9.474066355500965e-07,3.334790309915976e-07
489391,0.813,0.00251356,323.445648,0.042083999999988464,0.052873608994348974,9.499720113074721e-07,3.342921209686863e-07
489491,0.8135,0.002514609,323.509552,0.105987999999968,0.053004400212630934,9.528531315381804e-07,3.3520703357552e-07
489587,0.8135,0.002514492,323.524597,0.12103300000001127,0.05312996522262486,9.556176884055626e-07,3.3608568686385535e-07
489676,0.8135,0.002514589,323.512085,0.10852099999999609,0.05324637857096435,9.581795091964529e-07,3.368998990473909e-07
489772,0.8135,0.002514588,323.51223799999997,0.10867399999995087,0.053371951783891786,9.609415769566096e-07,3.377796013367462e-07
489861,0.8135,0.002514502,323.523285,0.11972099999996999,0.05348837147766717,9.63501090137676e-07,3.385951511780506e-07
489952,0.814,0.002516566,323.456635,0.053070999999988544,0.05360740956295254,9.661169726204458e-07,3.394297653438043e-07
