DELAY (SEC) -107374176.000 ; RAMP (V) 0.0005 ; MAX VOLT (V) 3.00 ; RAMP RESISTANCE TOLERANCE (low R) (float %) -107374176.000 ; RAMP RESISTANCE TOLERANCE (low-med R) (float %) -107374176.000 ; RAMP RESISTANCE TOLERANCE (med-high R) (float %) -107374176.000 ; RAMP RESISTANCE TOLERANCE (high R) (float %) -107374176.000 ; TARGET RESISTANCE (Ohms) 1000.000000000 ; TARGET RESISTANCE TOLERANCE (float %) 0.001 ; RAMP DOWN (V) -107374176.000 ; NUM CONSEC HITS (low R) -858993460 ; NUM CONSEC HITS (low-med R) -858993460 ;  NUM CONSEC HITS (med-high R) -858993460 ; NUM CONSEC HITS (high R) -858993460 ; NUM CONSEC NDR (low R) -858993460 ; NUM CONSEC HITS (low-med R) -858993460 ; NUM CONSEC HITS (med-high R) -858993460 ; NUM CONSEC NDR (high R) -858993460 ; LOW/LOW-MED SWITCH RESISTANCE (ohms) -107374176.000000000 ; LOW-MED/MED-HIGH SWITCH RESISTANCE (ohms) -107374176.000000000 ; MED-HIGH/HIGH SWITCH RESISTANCE (ohms) -107374176.000000000 ;  INTEGRATION TIME (PLC) 1 ; RAMPDOWN DWELL (msec/mV) -858993460 ; TEMPERATURE (K) -107374176.0000 
 voltage,current,resistance 
+1.420000E+00,+3.608239E-03,393.543762
+1.420000E+00,+3.608166E-03,393.551727
+1.420000E+00,+3.608153E-03,393.553162
+1.420000E+00,+3.608098E-03,393.559143
+1.420000E+00,+3.608075E-03,393.561646
+1.420500E+00,+3.609444E-03,393.550934
+1.420500E+00,+3.609266E-03,393.570343
+1.420500E+00,+3.609171E-03,393.580719
+1.420500E+00,+3.609188E-03,393.578857
+1.420500E+00,+3.609152E-03,393.582764
+1.421000E+00,+3.610366E-03,393.588898
+1.421000E+00,+3.610288E-03,393.597412
+1.421000E+00,+3.610291E-03,393.597076
+1.421000E+00,+3.610345E-03,393.591187
+1.421000E+00,+3.610300E-03,393.596100
+1.421500E+00,+3.611524E-03,393.601166
+1.421500E+00,+3.611538E-03,393.599609
+1.421500E+00,+3.611458E-03,393.608337
+1.421500E+00,+3.611419E-03,393.612610
+1.421500E+00,+3.611488E-03,393.605072
+1.422000E+00,+3.612767E-03,393.604156
+1.422000E+00,+3.612722E-03,393.609039
+1.422000E+00,+3.612686E-03,393.612976
+1.422000E+00,+3.612691E-03,393.612427
+1.422000E+00,+3.612593E-03,393.623108
+1.422500E+00,+3.613794E-03,393.630646
+1.422500E+00,+3.613877E-03,393.621582
+1.422500E+00,+3.613942E-03,393.614502
+1.422500E+00,+3.614079E-03,393.599579
+1.422500E+00,+3.614003E-03,393.607849
+1.423000E+00,+3.615303E-03,393.604614
+1.423000E+00,+3.615356E-03,393.598846
+1.423000E+00,+3.615307E-03,393.604187
+1.423000E+00,+3.615282E-03,393.606903
+1.423000E+00,+3.615243E-03,393.611176
+1.423500E+00,+3.616550E-03,393.607147
+1.423500E+00,+3.616589E-03,393.602905
