DELAY (SEC) 0.000 ; RAMP (V) 0.0005 ; MAX VOLT (V) 3.00 ; RAMP RESISTANCE TOLERANCE (low R) (float %) 0.030 ; RAMP RESISTANCE TOLERANCE (low-med R) (float %) 0.040 ; RAMP RESISTANCE TOLERANCE (med-high R) (float %) 0.060 ; RAMP RESISTANCE TOLERANCE (high R) (float %) 10000000.000 ; TARGET RESISTANCE (Ohms) 1000.000000000 ; TARGET RESISTANCE TOLERANCE (float %) 0.001 ; RAMP DOWN (V) 0.200 ; NUM CONSEC HITS (low R) 3 ; NUM CONSEC HITS (low-med R) 4 ;  NUM CONSEC HITS (med-high R) 6 ; NUM CONSEC HITS (high R) 100000 ; NUM CONSEC NDR (low R) 3 ; NUM CONSEC HITS (low-med R) 4 ; NUM CONSEC HITS (med-high R) 6 ; NUM CONSEC NDR (high R) 10000000 ; LOW/LOW-MED SWITCH RESISTANCE (ohms) 75.000000000 ; LOW-MED/MED-HIGH SWITCH RESISTANCE (ohms) 200.000000000 ; MED-HIGH/HIGH SWITCH RESISTANCE (ohms) 400.000000000 ;  INTEGRATION TIME (PLC) 1 ; RAMPDOWN DWELL (msec/mV) 0001 ; TEMPERATURE (K) 298.0000 
 voltage,current,resistance 
+4.000000E-01,+8.825282E-04,453.243317
+4.000000E-01,+8.825897E-04,453.211731
+4.000000E-01,+8.825082E-04,453.253601
+4.000000E-01,+8.825282E-04,453.243317
+4.000000E-01,+8.825024E-04,453.256561
+4.005000E-01,+8.835667E-04,453.276489
+4.005000E-01,+8.835872E-04,453.265961
+4.005000E-01,+8.835612E-04,453.279297
+4.005000E-01,+8.835818E-04,453.268707
+4.005000E-01,+8.835664E-04,453.276642
+4.010000E-01,+8.845954E-04,453.314575
+4.010000E-01,+8.846004E-04,453.312012
+4.010000E-01,+8.846113E-04,453.306458
+4.010000E-01,+8.846353E-04,453.294128
+4.010000E-01,+8.845552E-04,453.335175
+4.015000E-01,+8.857452E-04,453.290619
+4.015000E-01,+8.857099E-04,453.308685
+4.015000E-01,+8.856839E-04,453.321960
+4.015000E-01,+8.856797E-04,453.324158
+4.015000E-01,+8.856902E-04,453.318756
+4.020000E-01,+8.867081E-04,453.362305
+4.020000E-01,+8.867841E-04,453.323425
+4.020000E-01,+8.867284E-04,453.351898
+4.020000E-01,+8.867844E-04,453.323273
+4.020000E-01,+8.867233E-04,453.354523
+4.025000E-01,+8.878490E-04,453.342834
+4.025000E-01,+8.878530E-04,453.340820
