TARGET RESISTANCE (Ohms) 1500.000000000 ; VOLTAGE STEP (V) 0.001 ; % CHANGE THAT PREVENTS STEP (float %) 0.005 ; % CHANGE THAT TRIGGERS DWELL (float %) 0.005 ; TEMPERATURE (K) 295.2000
time(ms),voltage(V),current(A),resistance(Ohms) 
0, +3.000000E-01,+7.553706E-04,397.156067
 98, +3.000000E-01,+7.550174E-04,397.341858
 187, +3.000000E-01,+7.551587E-04,397.267487
 276, +3.000000E-01,+7.549514E-04,397.376587
 365, +3.000000E-01,+7.551581E-04,397.267822
 463, +3.005000E-01,+7.558744E-04,397.552826
 558, +3.005000E-01,+7.557282E-04,397.629730
 647, +3.005000E-01,+7.555920E-04,397.701416
 736, +3.005000E-01,+7.557431E-04,397.621887
 831, +3.005000E-01,+7.560615E-04,397.454437
 923, +3.010000E-01,+7.577654E-04,397.220581
 1014, +3.010000E-01,+7.579976E-04,397.098877
 1110, +3.010000E-01,+7.578362E-04,397.183441
 1199, +3.010000E-01,+7.578207E-04,397.191589
 1289, +3.010000E-01,+7.578411E-04,397.180878
 1387, +3.015000E-01,+7.585720E-04,397.457306
 1483, +3.015000E-01,+7.586172E-04,397.433655
 1572, +3.015000E-01,+7.585822E-04,397.451965
 1661, +3.015000E-01,+7.586032E-04,397.440948
 1750, +3.015000E-01,+7.589051E-04,397.282867
 1848, +3.020000E-01,+7.602512E-04,397.237122
 1950, +3.020000E-01,+7.604530E-04,397.131683
 2042, +3.020000E-01,+7.608162E-04,396.942108
 2134, +3.020000E-01,+7.604985E-04,397.107910
 2223, +3.020000E-01,+7.604382E-04,397.139404
 2314, +3.025000E-01,+7.611384E-04,397.431030
 2418, +3.025000E-01,+7.608756E-04,397.568298
 2506, +3.025000E-01,+7.613554E-04,397.317749
 2595, +3.025000E-01,+7.611539E-04,397.422943
 2684, +3.025000E-01,+7.614112E-04,397.288635
 2775, +3.030000E-01,+7.631354E-04,397.046204
 2869, +3.030000E-01,+7.632357E-04,396.994019
 2958, +3.030000E-01,+7.633574E-04,396.930725
 3047, +3.030000E-01,+7.638169E-04,396.691956
 3136, +3.030000E-01,+7.639727E-04,396.611023
 3233, +3.035000E-01,+7.644972E-04,396.992950
 3329, +3.035000E-01,+7.645070E-04,396.987854
 3418, +3.035000E-01,+7.645628E-04,396.958893
 3528, +3.035000E-01,+7.648300E-04,396.820221
 3617, +3.035000E-01,+7.648154E-04,396.827759
 3708, +3.040000E-01,+7.664986E-04,396.608673
 3797, +3.040000E-01,+7.664281E-04,396.645172
 3892, +3.040000E-01,+7.665039E-04,396.605927
 3981, +3.040000E-01,+7.662919E-04,396.715637
 4070, +3.040000E-01,+7.664232E-04,396.647705
 4161, +3.045000E-01,+7.671894E-04,396.903290
 4255, +3.045000E-01,+7.673306E-04,396.830292
 4344, +3.045000E-01,+7.670536E-04,396.973602
 4433, +3.045000E-01,+7.676333E-04,396.673798
 4523, +3.045000E-01,+7.676082E-04,396.686768
 4619, +3.050000E-01,+7.690251E-04,396.606049
 4708, +3.050000E-01,+7.689643E-04,396.637421
 4797, +3.050000E-01,+7.690655E-04,396.585205
 4901, +3.050000E-01,+7.692370E-04,396.496796
 4990, +3.050000E-01,+7.691156E-04,396.559387
 5081, +3.055000E-01,+7.699832E-04,396.761902
 5170, +3.055000E-01,+7.697513E-04,396.881439
 5266, +3.055000E-01,+7.698671E-04,396.821747
 5355, +3.055000E-01,+7.699273E-04,396.790710
 5445, +3.055000E-01,+7.698922E-04,396.808807
 5543, +3.060000E-01,+7.715008E-04,396.629517
 5632, +3.060000E-01,+7.717832E-04,396.484406
 5721, +3.060000E-01,+7.719940E-04,396.376129
 5810, +3.060000E-01,+7.724386E-04,396.147980
 5903, +3.060000E-01,+7.721863E-04,396.277405
 6003, +3.065000E-01,+7.737137E-04,396.141357
 6092, +3.065000E-01,+7.738353E-04,396.079102
 6182, +3.065000E-01,+7.737042E-04,396.146210
 6285, +3.065000E-01,+7.736889E-04,396.154053
 6374, +3.065000E-01,+7.737144E-04,396.140991
 6468, +3.070000E-01,+7.745823E-04,396.342651
 6557, +3.070000E-01,+7.747431E-04,396.260406
 6653, +3.070000E-01,+7.746925E-04,396.286285
 6742, +3.070000E-01,+7.746475E-04,396.309296
 6831, +3.070000E-01,+7.745264E-04,396.371277
 6926, +3.075000E-01,+7.761295E-04,396.196777
 7017, +3.075000E-01,+7.762303E-04,396.145325
 7105, +3.075000E-01,+7.763916E-04,396.063019
 7195, +3.075000E-01,+7.763868E-04,396.065460
 7290, +3.075000E-01,+7.762404E-04,396.140167
 7381, +3.080000E-01,+7.768409E-04,396.477570
 7469, +3.080000E-01,+7.768957E-04,396.449615
 7559, +3.080000E-01,+7.773198E-04,396.233337
 7662, +3.080000E-01,+7.770928E-04,396.349060
 7752, +3.080000E-01,+7.772692E-04,396.259125
 7844, +3.085000E-01,+7.788877E-04,396.077606
 7933, +3.085000E-01,+7.789583E-04,396.041718
 8029, +3.085000E-01,+7.784842E-04,396.282898
 8118, +3.085000E-01,+7.786711E-04,396.187805
 8207, +3.085000E-01,+7.785190E-04,396.265198
 8298, +3.090000E-01,+7.791750E-04,396.573273
 8401, +3.090000E-01,+7.789781E-04,396.673523
 8490, +3.090000E-01,+7.793972E-04,396.460205
 8579, +3.090000E-01,+7.793056E-04,396.506836
 8668, +3.090000E-01,+7.794676E-04,396.424438
 8778, +3.095000E-01,+7.812776E-04,396.146027
 8867, +3.095000E-01,+7.810408E-04,396.266113
 8956, +3.095000E-01,+7.813578E-04,396.105347
 9045, +3.095000E-01,+7.813384E-04,396.115204
 9142, +3.095000E-01,+7.815048E-04,396.030853
 9240, +3.100000E-01,+7.820442E-04,396.397034
 9335, +3.100000E-01,+7.822008E-04,396.317688
 9435, +3.100000E-01,+7.822457E-04,396.294922
 9524, +3.100000E-01,+7.821652E-04,396.335693
 9614, +3.100000E-01,+7.823462E-04,396.244019
 9719, +3.105000E-01,+7.839858E-04,396.053101
 9809, +3.105000E-01,+7.840060E-04,396.042877
 9899, +3.105000E-01,+7.837032E-04,396.195923
 9988, +3.105000E-01,+7.835015E-04,396.297913
 10084, +3.105000E-01,+7.836328E-04,396.231506
 10176, +3.110000E-01,+7.844898E-04,396.436005
 10265, +3.110000E-01,+7.846511E-04,396.354492
 10360, +3.110000E-01,+7.846107E-04,396.374908
 10449, +3.110000E-01,+7.846967E-04,396.331451
 10538, +3.110000E-01,+7.850297E-04,396.163330
 10629, +3.115000E-01,+7.863709E-04,396.123535
 10722, +3.115000E-01,+7.864871E-04,396.065002
 10812, +3.115000E-01,+7.864968E-04,396.060120
 10902, +3.115000E-01,+7.867242E-04,395.945618
 10991, +3.115000E-01,+7.867945E-04,395.910248
 11088, +3.120000E-01,+7.876168E-04,396.131714
 11184, +3.120000E-01,+7.875002E-04,396.190399
 11273, +3.120000E-01,+7.875247E-04,396.178070
 11363, +3.120000E-01,+7.877876E-04,396.045837
 11459, +3.120000E-01,+7.874498E-04,396.215729
 11550, +3.125000E-01,+7.891542E-04,395.993591
 11639, +3.125000E-01,+7.893451E-04,395.897797
 11728, +3.125000E-01,+7.890732E-04,396.034241
 11823, +3.125000E-01,+7.890483E-04,396.046722
 11912, +3.125000E-01,+7.892851E-04,395.927917
 12010, +3.130000E-01,+7.902483E-04,396.078033
 12108, +3.130000E-01,+7.903235E-04,396.040344
 12197, +3.130000E-01,+7.901120E-04,396.146362
 12286, +3.130000E-01,+7.903644E-04,396.019867
 12375, +3.130000E-01,+7.905759E-04,395.913879
 12474, +3.135000E-01,+7.920383E-04,395.814178
 12564, +3.135000E-01,+7.922700E-04,395.698425
 12653, +3.135000E-01,+7.920131E-04,395.826782
 12756, +3.135000E-01,+7.920937E-04,395.786499
 12845, +3.135000E-01,+7.920330E-04,395.816833
 12936, +3.140000E-01,+7.930007E-04,395.964355
 13032, +3.140000E-01,+7.929311E-04,395.999084
 13132, +3.140000E-01,+7.935262E-04,395.702148
 13221, +3.140000E-01,+7.931523E-04,395.888672
 13310, +3.140000E-01,+7.932488E-04,395.840515
 13415, +3.145000E-01,+7.947009E-04,395.746399
 13504, +3.145000E-01,+7.947710E-04,395.711456
 13595, +3.145000E-01,+7.946598E-04,395.766846
 13683, +3.145000E-01,+7.949279E-04,395.633392
 13772, +3.145000E-01,+7.947861E-04,395.703949
 13869, +3.150000E-01,+7.956483E-04,395.903564
 13958, +3.150000E-01,+7.953453E-04,396.054382
 14047, +3.150000E-01,+7.955327E-04,395.961090
 14154, +3.150000E-01,+7.956942E-04,395.880737
 14243, +3.150000E-01,+7.956538E-04,395.900818
 14334, +3.155000E-01,+7.972472E-04,395.736694
 14424, +3.155000E-01,+7.971605E-04,395.779755
 14520, +3.155000E-01,+7.974245E-04,395.648712
 14610, +3.155000E-01,+7.973641E-04,395.678711
 14699, +3.155000E-01,+7.972119E-04,395.754242
 14790, +3.160000E-01,+7.981294E-04,395.925781
 14883, +3.160000E-01,+7.981145E-04,395.933167
 14979, +3.160000E-01,+7.980740E-04,395.953278
 15068, +3.160000E-01,+7.981547E-04,395.913239
 15164, +3.160000E-01,+7.981292E-04,395.925903
 15256, +3.165000E-01,+7.996876E-04,395.779572
 15344, +3.165000E-01,+7.994204E-04,395.911835
 15434, +3.165000E-01,+7.995520E-04,395.846680
 15530, +3.165000E-01,+7.996067E-04,395.819611
 15619, +3.165000E-01,+7.995057E-04,395.869629
 15710, +3.170000E-01,+8.002774E-04,396.112640
 15805, +3.170000E-01,+8.004139E-04,396.045105
 15893, +3.170000E-01,+8.004587E-04,396.022919
 15982, +3.170000E-01,+8.004236E-04,396.040283
 16071, +3.170000E-01,+8.001865E-04,396.157654
 16169, +3.175000E-01,+8.019258E-04,395.921906
 16257, +3.175000E-01,+8.019469E-04,395.911499
 16346, +3.175000E-01,+8.019613E-04,395.904388
 16435, +3.175000E-01,+8.023750E-04,395.700256
 16538, +3.175000E-01,+8.021736E-04,395.799622
 16631, +3.180000E-01,+8.030453E-04,395.992584
 16720, +3.180000E-01,+8.031360E-04,395.947876
 16827, +3.180000E-01,+8.032118E-04,395.910492
 16916, +3.180000E-01,+8.034239E-04,395.806000
 17005, +3.180000E-01,+8.033988E-04,395.818359
 17096, +3.185000E-01,+8.050526E-04,395.626343
 17192, +3.185000E-01,+8.047549E-04,395.772675
 17281, +3.185000E-01,+8.049718E-04,395.666046
 17371, +3.185000E-01,+8.051228E-04,395.591858
 17460, +3.185000E-01,+8.051582E-04,395.574432
 17565, +3.190000E-01,+8.060004E-04,395.781464
 17654, +3.190000E-01,+8.058795E-04,395.840851
 17743, +3.190000E-01,+8.057937E-04,395.882996
 17832, +3.190000E-01,+8.059700E-04,395.796387
 17920, +3.190000E-01,+8.060821E-04,395.741333
 18018, +3.195000E-01,+8.074823E-04,395.674316
 18108, +3.195000E-01,+8.077604E-04,395.538086
 18197, +3.195000E-01,+8.076041E-04,395.614624
 18301, +3.195000E-01,+8.075936E-04,395.619781
 18390, +3.195000E-01,+8.074979E-04,395.666656
 18481, +3.200000E-01,+8.093384E-04,395.384674
 18576, +3.200000E-01,+8.093689E-04,395.369751
 18676, +3.200000E-01,+8.094341E-04,395.337921
 18765, +3.200000E-01,+8.092927E-04,395.406982
 18854, +3.200000E-01,+8.094490E-04,395.330627
 18953, +3.205000E-01,+8.102203E-04,395.571411
 19046, +3.205000E-01,+8.101405E-04,395.610382
 19135, +3.205000E-01,+8.101251E-04,395.617889
 19224, +3.205000E-01,+8.100490E-04,395.655060
 19314, +3.205000E-01,+8.102060E-04,395.578400
 19411, +3.205000E-01,+8.101602E-04,395.600769
 19503, +3.205000E-01,+8.102006E-04,395.581024
 19601, +3.205000E-01,+8.103570E-04,395.504700
 19701, +3.205000E-01,+8.104073E-04,395.480133
 19800, +3.205000E-01,+8.102913E-04,395.536743
 19896, +3.210000E-01,+8.119306E-04,395.354004
 19984, +3.210000E-01,+8.118495E-04,395.393494
 20073, +3.210000E-01,+8.119806E-04,395.329681
 20163, +3.210000E-01,+8.120160E-04,395.312408
 20252, +3.210000E-01,+8.120611E-04,395.290466
 20349, +3.215000E-01,+8.127369E-04,395.576965
 20438, +3.215000E-01,+8.125355E-04,395.675018
 20527, +3.215000E-01,+8.126864E-04,395.601563
 20631, +3.215000E-01,+8.126764E-04,395.606415
 20720, +3.215000E-01,+8.128933E-04,395.500854
 20811, +3.220000E-01,+8.146277E-04,395.272583
 20900, +3.220000E-01,+8.144212E-04,395.372803
 20989, +3.220000E-01,+8.142750E-04,395.443787
 21086, +3.220000E-01,+8.141134E-04,395.522278
 21175, +3.220000E-01,+8.143202E-04,395.421875
 21266, +3.225000E-01,+8.151627E-04,395.626526
 21369, +3.225000E-01,+8.152329E-04,395.592438
 21458, +3.225000E-01,+8.151974E-04,395.609680
 21548, +3.225000E-01,+8.152879E-04,395.565796
 21636, +3.225000E-01,+8.153588E-04,395.531372
 21747, +3.230000E-01,+8.170526E-04,395.323395
 21836, +3.230000E-01,+8.173704E-04,395.169678
 21925, +3.230000E-01,+8.170180E-04,395.340149
 22014, +3.230000E-01,+8.169522E-04,395.371979
 22110, +3.230000E-01,+8.168659E-04,395.413757
 22209, +3.235000E-01,+8.177742E-04,395.585968
 22305, +3.235000E-01,+8.174871E-04,395.724915
 22404, +3.235000E-01,+8.177137E-04,395.615265
 22493, +3.235000E-01,+8.175526E-04,395.693207
 22583, +3.235000E-01,+8.176177E-04,395.661713
 22681, +3.240000E-01,+8.193628E-04,395.429230
 22770, +3.240000E-01,+8.194170E-04,395.403076
 22859, +3.240000E-01,+8.195947E-04,395.317352
 22948, +3.240000E-01,+8.196901E-04,395.271332
 23044, +3.240000E-01,+8.194129E-04,395.405060
 23135, +3.245000E-01,+8.209863E-04,395.256287
 23230, +3.245000E-01,+8.206581E-04,395.414337
 23327, +3.245000E-01,+8.205274E-04,395.477356
 23417, +3.245000E-01,+8.206433E-04,395.421478
 23506, +3.245000E-01,+8.203459E-04,395.564850
 23597, +3.250000E-01,+8.222212E-04,395.270752
 23693, +3.250000E-01,+8.224791E-04,395.146820
 23783, +3.250000E-01,+8.227909E-04,394.997070
 23873, +3.250000E-01,+8.225496E-04,395.112915
 23976, +3.250000E-01,+8.224189E-04,395.175720
 24067, +3.255000E-01,+8.230737E-04,395.468872
 24156, +3.255000E-01,+8.230127E-04,395.498138
 24252, +3.255000E-01,+8.232450E-04,395.386566
 24351, +3.255000E-01,+8.228568E-04,395.573090
 24440, +3.255000E-01,+8.232149E-04,395.401031
 24531, +3.260000E-01,+8.246471E-04,395.320618
