TARGET RESISTANCE (Ohms) 3000.000000000 ; VOLTAGE STEP (V) 0.001 ; % CHANGE THAT PREVENTS STEP (float %) 0.005 ; % CHANGE THAT TRIGGERS DWELL (float %) 0.005 ; TEMPERATURE (K) 295.2000
time(ms),voltage(V),current(A),resistance(Ohms) 
0, +2.000000E-01,+4.547515E-04,439.800629
 89, +2.000000E-01,+4.550788E-04,439.484344
 184, +2.000000E-01,+4.548321E-04,439.722717
 273, +2.000000E-01,+4.547166E-04,439.834412
 361, +2.000000E-01,+4.548223E-04,439.732178
 459, +2.005000E-01,+4.556239E-04,440.055939
 549, +2.005000E-01,+4.557952E-04,439.890533
 638, +2.005000E-01,+4.555330E-04,440.143738
 727, +2.005000E-01,+4.553261E-04,440.343719
 822, +2.005000E-01,+4.555278E-04,440.148773
 913, +2.010000E-01,+4.568890E-04,439.931824
 1002, +2.010000E-01,+4.567986E-04,440.018890
 1091, +2.010000E-01,+4.571114E-04,439.717773
 1187, +2.010000E-01,+4.572219E-04,439.611481
 1276, +2.010000E-01,+4.577918E-04,439.064240
 1368, +2.015000E-01,+4.584322E-04,439.541565
 1471, +2.015000E-01,+4.585079E-04,439.468994
 1560, +2.015000E-01,+4.586037E-04,439.377167
 1649, +2.015000E-01,+4.583566E-04,439.614044
 1738, +2.015000E-01,+4.583568E-04,439.613831
 1844, +2.020000E-01,+4.599301E-04,439.197174
 1937, +2.020000E-01,+4.598488E-04,439.274841
 2025, +2.020000E-01,+4.597835E-04,439.337219
 2114, +2.020000E-01,+4.598897E-04,439.235779
 2210, +2.020000E-01,+4.598747E-04,439.250122
 2301, +2.025000E-01,+4.604996E-04,439.739777
 2390, +2.025000E-01,+4.607314E-04,439.518555
 2479, +2.025000E-01,+4.608475E-04,439.407806
 2575, +2.025000E-01,+4.608223E-04,439.431854
 2663, +2.025000E-01,+4.611855E-04,439.085785
 2754, +2.030000E-01,+4.625518E-04,438.869751
 2850, +2.030000E-01,+4.627136E-04,438.716309
 2945, +2.030000E-01,+4.625877E-04,438.835693
 3033, +2.030000E-01,+4.621490E-04,439.252258
 3122, +2.030000E-01,+4.620175E-04,439.377289
 3213, +2.035000E-01,+4.627384E-04,439.773315
 3306, +2.035000E-01,+4.627786E-04,439.735107
 3395, +2.035000E-01,+4.627734E-04,439.740051
 3484, +2.035000E-01,+4.626981E-04,439.811615
 3573, +2.035000E-01,+4.631322E-04,439.399384
 3669, +2.040000E-01,+4.644025E-04,439.274109
 3759, +2.040000E-01,+4.644881E-04,439.193146
 3848, +2.040000E-01,+4.641956E-04,439.469910
 3951, +2.040000E-01,+4.640242E-04,439.632233
 4040, +2.040000E-01,+4.641603E-04,439.503326
 4131, +2.045000E-01,+4.651890E-04,439.606293
 4220, +2.045000E-01,+4.651940E-04,439.601563
 4316, +2.045000E-01,+4.650581E-04,439.730011
 4405, +2.045000E-01,+4.653101E-04,439.491882
 4494, +2.045000E-01,+4.651641E-04,439.629791
 4585, +2.050000E-01,+4.659155E-04,439.993927
 4680, +2.050000E-01,+4.662328E-04,439.694489
 4769, +2.050000E-01,+4.660964E-04,439.823181
 4858, +2.050000E-01,+4.659757E-04,439.937103
 4947, +2.050000E-01,+4.658343E-04,440.070618
 5044, +2.055000E-01,+4.675134E-04,439.559601
 5133, +2.055000E-01,+4.675535E-04,439.521912
 5222, +2.055000E-01,+4.676399E-04,439.440704
 5325, +2.055000E-01,+4.674785E-04,439.592407
 5414, +2.055000E-01,+4.674885E-04,439.583008
 5505, +2.060000E-01,+4.680732E-04,440.102081
 5594, +2.060000E-01,+4.679422E-04,440.225311
 5690, +2.060000E-01,+4.679320E-04,440.234894
 5779, +2.060000E-01,+4.676549E-04,440.495758
 5868, +2.060000E-01,+4.677810E-04,440.377014
 5959, +2.060000E-01,+4.678466E-04,440.315247
 6056, +2.060000E-01,+4.677656E-04,440.391510
 6147, +2.060000E-01,+4.678058E-04,440.353668
 6237, +2.060000E-01,+4.678616E-04,440.301147
 6335, +2.060000E-01,+4.678765E-04,440.287140
 6425, +2.065000E-01,+4.693792E-04,439.942810
 6513, +2.065000E-01,+4.692279E-04,440.084656
 6602, +2.065000E-01,+4.695407E-04,439.791443
 6698, +2.065000E-01,+4.695859E-04,439.749115
 6787, +2.065000E-01,+4.694955E-04,439.833801
 6878, +2.070000E-01,+4.702262E-04,440.213684
 6967, +2.070000E-01,+4.699641E-04,440.459167
 7062, +2.070000E-01,+4.701559E-04,440.279480
 7151, +2.070000E-01,+4.706649E-04,439.803345
 7240, +2.070000E-01,+4.706399E-04,439.826721
 7330, +2.075000E-01,+4.722634E-04,439.373444
 7423, +2.075000E-01,+4.722078E-04,439.425201
 7512, +2.075000E-01,+4.717893E-04,439.814972
 7601, +2.075000E-01,+4.721624E-04,439.467407
 7690, +2.075000E-01,+4.721627E-04,439.467133
 7787, +2.080000E-01,+4.728886E-04,439.849884
 7876, +2.080000E-01,+4.725514E-04,440.163788
 7965, +2.080000E-01,+4.725908E-04,440.127075
 8053, +2.080000E-01,+4.725656E-04,440.150543
 8148, +2.080000E-01,+4.725967E-04,440.121582
 8239, +2.085000E-01,+4.743609E-04,439.538757
 8328, +2.085000E-01,+4.742704E-04,439.622620
 8417, +2.085000E-01,+4.742203E-04,439.669067
 8512, +2.085000E-01,+4.744672E-04,439.440277
 8601, +2.085000E-01,+4.745983E-04,439.318909
 8692, +2.090000E-01,+4.750826E-04,439.923523
 8788, +2.090000E-01,+4.754556E-04,439.578400
 8877, +2.090000E-01,+4.755412E-04,439.499268
 8966, +2.090000E-01,+4.754655E-04,439.569244
 9055, +2.090000E-01,+4.753445E-04,439.681122
 9160, +2.095000E-01,+4.765246E-04,439.641510
 9249, +2.095000E-01,+4.768721E-04,439.321136
 9338, +2.095000E-01,+4.768368E-04,439.353668
 9428, +2.095000E-01,+4.764989E-04,439.665222
 9524, +2.095000E-01,+4.764588E-04,439.702240
 9614, +2.100000E-01,+4.768221E-04,440.415802
 9703, +2.100000E-01,+4.766760E-04,440.550781
 9792, +2.100000E-01,+4.767008E-04,440.527863
 9887, +2.100000E-01,+4.767215E-04,440.508759
 9976, +2.100000E-01,+4.771444E-04,440.118317
 10066, +2.105000E-01,+4.783854E-04,440.021790
 10155, +2.105000E-01,+4.784956E-04,439.920441
 10250, +2.105000E-01,+4.782692E-04,440.128693
 10339, +2.105000E-01,+4.782387E-04,440.156769
 10428, +2.105000E-01,+4.784861E-04,439.929199
 10519, +2.110000E-01,+4.788439E-04,440.644653
 10612, +2.110000E-01,+4.793885E-04,440.144073
 10701, +2.110000E-01,+4.794037E-04,440.130096
 10790, +2.110000E-01,+4.794741E-04,440.065460
 10878, +2.110000E-01,+4.794285E-04,440.107330
 10976, +2.115000E-01,+4.809767E-04,439.730225
 11065, +2.115000E-01,+4.810072E-04,439.702362
