time,volt,curr,res,rj,smrj,rate,power
1202,0.901,0.002822685,319.199615,0.0,-0.015015121992404559,2.3418719384937234e-07,-1.2107940583326856e-07
1298,0.901,0.002822623,319.206665,0.007049999999992451,-0.014925474230875051,2.3701909215656925e-07,-1.203331510997155e-07
1391,0.9015,0.002824594,319.160919,-0.03869600000001583,-0.01483857525293318,2.3976161826780404e-07,-1.196100933427491e-07
1485,0.9015,0.002824645,319.155151,-0.044464000000004944,-0.014750688239308177,2.4253275848345204e-07,-1.1887913542006458e-07
1574,0.9015,0.002824589,319.161469,-0.03814599999998336,-0.014667425516158279,2.451556864948188e-07,-1.1818694053139969e-07
1664,0.9015,0.00282465,319.154602,-0.045012999999983094,-0.014583176407065945,2.478072832934515e-07,-1.1748685033067582e-07
1759,0.9015,0.002824681,319.151062,-0.04855299999996987,-0.014494190372467287,2.506053157510837e-07,-1.1674773625115038e-07
1850,0.902,0.002825608,319.223328,0.02371299999998655,-0.01440889584866058,2.5328469336315477e-07,-1.1603961632194003e-07
1944,0.902,0.002825603,319.223907,0.024292000000002645,-0.01432073164213246,2.560515360444496e-07,-1.1530802067107536e-07
2033,0.902,0.0028256390000000004,319.219849,0.020234000000016295,-0.014237201986063625,2.5867039511371606e-07,-1.1461521589137268e-07
2129,0.902,0.0028256170000000003,319.222321,0.02270600000002787,-0.014147041524766707,2.614943473749167e-07,-1.1386778486319745e-07
2221,0.902,0.002825645,319.219147,0.019532000000026528,-0.014060577259271439,2.641997735791326e-07,-1.1315136350077129e-07
2312,0.9025,0.0028277109999999997,319.16275,-0.0368649999999775,-0.013974993566414462,2.668749636201827e-07,-1.1244260024837326e-07
2401,0.9025,0.002827661,319.168396,-0.031219000000021424,-0.013891232860910548,2.6949056044393074e-07,-1.1174928943114961e-07
2497,0.9025,0.0028276340000000003,319.171448,-0.02816699999999628,-0.013800818855581603,2.7231099387850476e-07,-1.1100130961973697e-07
2586,0.9025,0.0028276290000000003,319.17202799999995,-0.027587000000039552,-0.013716935886886177,2.7492495071469605e-07,-1.1030774072321787e-07
2675,0.9025,0.002827681,319.166138,-0.033477000000004864,-0.013632992582045556,2.775381185839006e-07,-1.0961404704189452e-07
2766,0.903,0.0028286590000000003,319.232544,0.03292900000002419,-0.013547099474295783,2.8020919356598183e-07,-1.0890463538064102e-07
2859,0.903,0.0028286640000000003,319.23199500000004,0.03238000000004604,-0.013459251200286336,2.8293812127690066e-07,-1.0817949682591807e-07
2949,0.903,0.002828608,319.23828100000003,0.03866600000003473,-0.013374170749791893,2.855781988188712e-07,-1.0747761926442577e-07
3038,0.903,0.002828613,319.237732,0.038116999999999734,-0.013289970715985611,2.8818814876654533e-07,-1.0678341387485054e-07
3145,0.903,0.0028286459999999998,319.23400899999996,0.0343939999999634,-0.013188654461355387,2.9132490930737074e-07,-1.0594864074706786e-07
3237,0.9035,0.0028307009999999997,319.178894,-0.02072099999998045,-0.013101464095912604,2.940210252828039e-07,-1.0523074631928207e-07
3326,0.9035,0.002830645,319.185181,-0.014433999999994285,-0.013017047626054453,2.9662842216876806e-07,-1.0453613336612949e-07
3415,0.9035,0.002830687,319.18045,-0.019164999999986776,-0.012932561871878651,2.992350300877454e-07,-1.0384139439959863e-07
3511,0.9035,0.002830644,319.185303,-0.014312000000018088,-0.012841352117060705,3.0204576762503877e-07,-1.0309187178430598e-07
3600,0.9035,0.0028306909999999998,319.180023,-0.01959199999998873,-0.012756718468214506,3.046507355564593e-07,-1.0239687093106385e-07
3691,0.904,0.002831638,319.249817,0.05020200000001296,-0.012670107348462018,3.073134263324919e-07,-1.0168612187401861e-07
3781,0.904,0.0028317459999999996,319.237671,0.038055999999983214,-0.012584371461822754,3.099460454919388e-07,-1.0098305381137003e-07
3877,0.904,0.002831717,319.240936,0.04132099999998218,-0.012492834401071578,3.1275328332666317e-07,-1.0023297273564118e-07
3970,0.904,0.0028317,319.242859,0.0432440000000156,-0.012404072197985892,3.154719196051903e-07,-9.950619216825407e-08
4059,0.904,0.0028317090000000004,319.241821,0.042206000000021504,-0.012319047314964955,3.1807281859451056e-07,-9.881054246034571e-08
4158,0.9045,0.0028337609999999997,319.187103,-0.012512000000015178,-0.012224374966539501,3.209650265061532e-07,-9.803658225247676e-08
4247,0.9045,0.0028337970000000003,319.183075,-0.016540000000020427,-0.012139179335318084,3.235642589135239e-07,-9.734066718530646e-08
4336,0.9045,0.002833782,319.184753,-0.014861999999993714,-0.01205390064794889,3.261627023539077e-07,-9.664462653282766e-08
4431,0.9045,0.002833782,319.184753,-0.014861999999993714,-0.011962779534218464,3.289354512135191e-07,-9.590152320505087e-08
4531,0.9045,0.0028337859999999996,319.184296,-0.015318999999976768,-0.011866756496585236,3.318531630800785e-07,-9.511915451264808e-08
4622,0.905,0.002834835,319.242554,0.042938999999989846,-0.011779279131968712,3.34507415266023e-07,-9.440706104908491e-08
4712,0.905,0.002834821,319.244141,0.04452600000001894,-0.011692670957453681,3.3713168856714116e-07,-9.370266336096041e-08
4808,0.905,0.0028348,319.24649,0.046875,-0.011600186032731018,3.399300241529816e-07,-9.295116375446336e-08
4897,0.905,0.002834865,319.23919700000005,0.03958200000005263,-0.01151434816667269,3.425234944419095e-07,-9.225432974675891e-08
4986,0.905,0.002834771,319.249756,0.05014099999999644,-0.011428415602258945,3.451161757638506e-07,-9.155736916668843e-08
5077,0.9055,0.0028368309999999997,319.194214,-0.005401000000006206,-0.011340452288354548,3.4776630382681997e-07,-9.08446153199493e-08
5173,0.9055,0.002836818,319.195648,-0.0039669999999887295,-0.011247544657534131,3.505611492721205e-07,-9.00925548630966e-08
5263,0.9055,0.002836828,319.19455,-0.0050650000000018736,-0.011160338649258004,3.531804831876971e-07,-8.938736307465975e-08
5355,0.9055,0.002836813,319.19622799999996,-0.0033870000000320033,-0.01107108859167732,3.5585719063501825e-07,-8.866636457365128e-08
5445,0.9055,0.002836822,319.19518999999997,-0.0044250000000261025,-0.0109836743928142,3.5847489302941785e-07,-8.796090640738674e-08
5542,0.906,0.002837878,319.252625,0.05301000000002887,-0.01088934563402571,3.6129529113621974e-07,-8.7200430454817e-08
5631,0.906,0.002837906,319.249481,0.049866000000008626,-0.010802691279624894,3.638822546637061e-07,-8.65025373989797e-08
5721,0.906,0.002837825,319.258575,0.058960000000013224,-0.010714961181622537,3.6649748288313384e-07,-8.57966686944365e-08
5825,0.906,0.0028377790000000003,319.263763,0.06414799999998877,-0.01061345680717465,3.6951851957127144e-07,-8.498082864907237e-08
5917,0.906,0.002837765,319.26535,0.06573500000001786,-0.010523551112238162,3.7219007706920695e-07,-8.425897092280237e-08
6008,0.9065,0.0028397970000000002,319.212982,0.01336700000001656,-0.010434518422154457,3.748317665420882e-07,-8.354481651903687e-08
6097,0.9065,0.0028398209999999998,319.210297,0.010682000000031167,-0.01034734267053345,3.77414599073891e-07,-8.284621868064137e-08
6193,0.9065,0.002839874,319.204315,0.004700000000013915,-0.01025320025909437,3.801996912497375e-07,-8.209251868421518e-08
6282,0.9065,0.002839853,319.206665,0.007049999999992451,-0.01016582079766309,3.827808837939836e-07,-8.139362906709885e-08
6371,0.9065,0.002839833,319.20892299999997,0.009307999999975891,-0.010078344091973952,3.8536128737124286e-07,-8.069459593216316e-08
6462,0.907,0.00284199,319.14257799999996,-0.05703700000003664,-0.009988801615118831,3.879988617851553e-07,-7.997970338276434e-08
6555,0.907,0.002841925,319.149872,-0.04974299999997811,-0.00989718730330896,3.906935526516819e-07,-7.924893856414104e-08
6645,0.907,0.002841933,319.14898700000003,-0.05062799999996059,-0.009808428928664317,3.9330049776359534e-07,-7.854158951178015e-08
6734,0.907,0.002841919,319.150543,-0.04907199999996692,-0.009720561256154442,3.958776834193243e-07,-7.78419446378809e-08
6830,0.907,0.0028419540000000003,319.146637,-0.05297799999999597,-0.009625676893115432,3.9865668458277644e-07,-7.708709460366075e-08
6921,0.9075,0.0028430240000000004,319.202362,0.002746999999999389,-0.009535633815880679,4.0129009861768755e-07,-7.637138614932282e-08
7010,0.9075,0.002843028,319.201904,0.0022890000000188593,-0.009447475697175375,4.0386483758927763e-07,-7.567124007919094e-08
7104,0.9075,0.0028429329999999997,319.212585,0.012969999999995707,-0.009354264711946692,4.06583368119674e-07,-7.493157535506309e-08
7204,0.9075,0.0028429540000000004,319.210236,0.010621000000014647,-0.009254992089505929,4.0947445571208047e-07,-7.41444837349897e-08
7293,0.9075,0.0028429640000000003,319.209106,0.009491000000025451,-0.009166543213885646,4.1204668594594864e-07,-7.344378071101685e-08
7385,0.908,0.002844981,319.158539,-0.041075999999975465,-0.009075018528346695,4.147047912629263e-07,-7.27192628236087e-08
7481,0.908,0.002845092,319.14608799999996,-0.053527000000030966,-0.008979413193487648,4.174775675455799e-07,-7.196302500121599e-08
7570,0.908,0.0028450009999999998,319.15631099999996,-0.04330400000003465,-0.008890687583749227,4.200473422305117e-07,-7.126172255746402e-08
7666,0.908,0.0028450009999999998,319.15631099999996,-0.04330400000003465,-0.008794885918762058,4.2281834953782316e-07,-7.050502988691685e-08
7755,0.908,0.002845002,319.15618900000004,-0.043425999999954,-0.008705980264987262,4.2538648423519816e-07,-6.980328977989984e-08
7853,0.9085,0.002846102,319.208527,0.008912000000009357,-0.008607985685500466,4.2821340527117904e-07,-6.903032876014418e-08
7942,0.9085,0.0028460779999999997,319.211212,0.01159699999999475,-0.00851890226665564,4.307798822514021e-07,-6.832810934108137e-08
8031,0.9085,0.002846122,319.206268,0.006653000000028442,-0.00842973582350686,4.333455702646383e-07,-6.762564680656816e-08
8121,0.9085,0.002846069,319.212219,0.012604000000010274,-0.008339484169650023,4.35939283919094e-07,-6.691503315079411e-08
8216,0.9085,0.0028460440000000003,319.215027,0.015412000000026183,-0.008244128870466145,4.386762175023171e-07,-6.61646457427816e-08
8307,0.909,0.0028482140000000004,319.14736899999997,-0.052246000000025106,-0.008152703435953954,4.4129706882416477e-07,-6.544555503906747e-08
8396,0.909,0.0028481490000000003,319.154633,-0.04498200000000452,-0.008063208037324852,4.4385952118627553e-07,-6.474197126567306e-08
8499,0.909,0.002848163,319.153076,-0.04653899999999567,-0.007959538411609908,4.468240710534517e-07,-6.392732390978922e-08
8589,0.909,0.002848167,319.152618,-0.0469969999999762,-0.007868870175756612,4.494135893677379e-07,-6.321513600743014e-08
8679,0.909,0.002848095,319.160706,-0.038908999999989646,-0.007778125822177378,4.5200230088583754e-07,-6.250259183837135e-08
